DIM_GEO_NAME,DIM_GEO_CODE,region,sub-region,DIM_TIME_YEAR,AMR_INFECT_ECOLI,AMR_INFECT_MRSA,FINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_25_POP,GHED_GGHE-DGGE_SHA2011,GLASSAMC_AWARE,HWF_0001,HWF_0006,HWF_0010,HWF_0014,MALARIA_EST_INCIDENCE,MCV2,MDG_0000000003,MDG_0000000007,MDG_0000000020,MDG_0000000025,MDG_0000000026,M_Est_tob_curr_std,NCDMORT3070,NCD_BMI_30A,NCD_BMI_PLUS2C,NCD_HYP_PREVALENCE_A,NUTOVERWEIGHTPREV,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,NUTRITION_WH_2,NUTSTUNTINGPREV,PCV3,PHE_HHAIR_PROP_POP_CLEAN_FUELS,RS_198,SA_0000001688,SDGAIRBODA,SDGFPALL,SDGHEALTHFACILITIESESSENTIALMEDS,SDGHEPHBSAGPRV,SDGHIV,SDGHPVRECEIVED,SDGIHR2021,SDGIPV12M,SDGIPVLT,SDGNTDTREATMENT,SDGODA01,SDGODAWS,SDGPM25,SDGPOISON,SDGSUICIDE,SDGWSHBOD,SUD_TREATMENTSERVICES_COVERAGE,UHC_INDEX_REPORTED,VACCINEPREVENTABLE_WILDPOLIO,VIOLENCE_HOMICIDERATE,WHOSIS_000003,WHS4_100,WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_HYGIENE_BASIC,WSH_SANITATION_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,Healthy life expectancy at birth
Burkina Faso,BFA,Africa,Sub-Saharan Africa,2019,,,,,,,,,,,,,,,,,,,24.0666446686,,,30.5,,52.5,,,,,,9.81280994415,201.288894653,,,,,,,,,,,,46.0373916626,,,60.9000015259,,,,,,,,,,,54.900001525878906
Burkina Faso,BFA,Africa,Sub-Saharan Africa,2020,,,,,,,,,,,,,47.075001239775,,,,263.755401611,,,,,,,,,,,,,,,,,1.65999996662,,,,,,,,,,,,,,,,,,,,,,,55.275001525878906
Burkina Faso,BFA,Africa,Sub-Saharan Africa,2021,80.7699966431,51.1599998474,,,9.84000015259,,,,,,,,,,,95.8000030518,,,,,,,,,10.3,,,,27.7999992371,,,58.2000007629,,,,,,,,,,,,1.61999714375,8.40792274475,,,39.6045608521,,9.22685050964,,,,,,,55.650001525878906
Burkina Faso,BFA,Africa,Sub-Saharan Africa,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9333000183,,,,,,,,,,,,0.0,,,,,,,,56.400001525878906
Burundi,BDI,Africa,Sub-Saharan Africa,2018,,,,,,,,,0.012000000104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,40.0,,,,,,,,,,,,,,,,,,55.20000076293945
Cambodia,KHM,Asia,South-eastern Asia,2014,,,,,,,,,,0.345999985933,,,,,,,,,,,,,,,,,,,,,,56.5,,,,,,,,,,,,,,,,,,,,,,,,,60.36000061035156
Cambodia,KHM,Asia,South-eastern Asia,2018,,,,,,,,,0.864000022411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,19.0,,,,,,,,,,,,,,,,,,61.29999923706055
Cambodia,KHM,Asia,South-eastern Asia,2019,,,17.8600006104,4.92000007629,,,2.14299988747,10.2489995956,,,,,,,,,,,23.4191894531,,,25.7000007629,,47.0999984741,,,,,,8.4821100235,163.313171387,,,,,,,,,,,,18.3484802246,,,17.1000003815,,,,,,,,,,,61.5
Cambodia,KHM,Asia,South-eastern Asia,2020,,,,,,,,,,,,,24.044999159856,,,,217.983154297,,,,,,,,,,,,,,,,,0.189999997616,,,,,,,,,,,,,,,,,,,,,,,61.70000076293945
Cambodia,KHM,Asia,South-eastern Asia,2021,,,,,6.98999977112,,,,,,,,,,,,,,,,,,,,9.60000038147,,,,18.7999992371,,,,,,,,,,,,,,,0.425063788891,4.6702299118,,,57.9848899841,,1.81845617294,,,,,,,61.900001525878906
